Brand,Product_name,Processor,RAM,ROM,Battery,Display_Size,Camera,No_of_ratings,No_of_reviews,Rating,Price
vivo,"vivo T5x 5G (Cyber Green, 128 GB)",Turbo,6 GB,128 GB,7200 mAh,6.76 inch,50MP + 2MP | 32MP Front Camera,5888,390,4.4,22999.0
IQOO,"IQOO Z11x 5G (Prismatic Green, 128 GB)",,6 GB,128 GB,7200 mAh,6.7 inch,50MP Rear Camera,430,38,4.4,21745.0
POCO,"POCO M8 Charger in the Box (Frost Silver, 256 GB)",,8 GB,256 GB,5520 mAh,6.77 inch,50MP Rear Camera | 20MP Front Camera,1106,105,4.4,21499.0
MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 128 GB)",Dimensity 7400,8 GB,128 GB,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera,117291,6844,4.4,20999.0
vivo,"vivo X200T (Stellar Black, 256 GB)",,12 GB,256 GB,6200 mAh,6.67 inch,50MP + 50MP + 50MP | 32MP Front Camera,2173,376,4.6,59999.0
MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)",Dimensity 7400,8 GB,128 GB,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera,117291,6844,4.4,20999.0
MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 128 GB)",Dimensity 7400,8 GB,128 GB,5500 mAh,6.67 inch,50MP + 13MP | 32MP Front Camera,117291,6844,4.4,20999.0
realme,"realme P4x 5G (Matte Silver, 256 GB)",Dimensity 7400 Ultra,8 GB,256 GB,7000 mAh,6.72 inch,50MP + 2MP | 8MP Front Camera,4649,347,4.3,20999.0
Ai,"Ai+ NovaFlip 5G (Glacier White, 256 GB)",,8 GB,256 GB,4325 mAh,6.9 inch,50MP + 2MP | 32MP Front Camera,6,1,4.2,39999.0
Samsung,"Samsung Galaxy S25 FE 5G (Navy, 256 GB)",Exynos 2400,8 GB,256 GB,4900 mAh,6.7 inch,50MP + 12MP + 8MP | 12MP Front Camera,621,61,4.6,50999.0
Nothing,"Nothing Phone (4a) (White, 256 GB)",Snapdragon 7s Gen 4,8 GB,256 GB,5400 mAh,6.78 inch,50MP + 50MP + 8MP | 32MP Front Camera,3699,395,4.4,37999.0
